sample_location,ufn,species,survey_date,site_id,lat,lon,standard_length,fork_length,weight,date_processed,stock_1,prob_1,stock_2,prob_2,stock_3,prob_3,container_id,comments_sample,comments_fish_health_lab,comments_protocol
BRN15-A1,U1528,SO,2016-06-25,J06,50.47508,-126.03392,NA,115,17.2,2016-07-06,Horsefly,0.84,Quesnel_Horsef,0.16,McKinley,0,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-B1,U1529,SO,2016-06-25,J06,50.47508,-126.03392,NA,107,13,2016-07-06,L_Shuswap,0.97,MiddleShuswap,0.03,Little,0,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-C1,U1530,SO,2016-06-25,J06,50.47508,-126.03392,NA,102,11.6,2016-07-06,L_Shuswap,0.63,MiddleShuswap,0.34,Eagle_L,0.02,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-H3,U1539,SO,2016-06-24,J08,50.4806,-126.40961,NA,109,12,2016-07-07,Scotch,0.89,Seymour,0.1,Blackwater,0.01,BRN15,NA,NA,NA
BRN15-A3,U1540,SO,2016-06-02,J09,50.543432,-126.8134,NA,90,10.2,2016-07-07,L_Adams,0.83,L_Shuswap,0.11,Quesnel_Horsef,0.03,BRN15,NA,NA,NA
BRN15-D1,U1541,SO,2016-06-25,J06,50.47508,-126.03392,NA,113,15,2016-07-06,Horsefly,0.77,Quesnel_Horsef,0.15,Quesnel_Decept,0.04,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-E1,U1542,SO,2016-06-25,J06,50.47508,-126.03392,NA,108,13.2,2016-07-06,L_Shuswap,0.37,Little,0.24,MiddleShuswap,0.17,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-F1,U1543,SO,2016-06-25,J06,50.47508,-126.03392,NA,118,18.3,2016-07-06,Chilko,0.91,Chilko-North,0.08,Chilko_south,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-G1,U1544,SO,2016-06-24,J08,50.4806,-126.40961,NA,99,12.1,2016-07-06,L_Shuswap,0.7,MiddleShuswap,0.28,Little,0.02,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-H1,U1545,SO,2016-06-24,J08,50.4806,-126.40961,NA,110,15.8,2016-07-06,L_Shuswap,0.78,MiddleShuswap,0.19,Little,0.02,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-A2,U1546,SO,2016-06-24,J08,50.4806,-126.40961,NA,110,14.9,2016-07-06,Seymour,0.84,Scotch,0.13,L_Shuswap,0.02,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-B2,U1547,SO,2016-06-24,J08,50.4806,-126.40961,NA,107,13.9,2016-07-07,Little,0.48,L_Shuswap,0.37,MiddleShuswap,0.14,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-C2,U1548,SO,2016-06-24,J08,50.4806,-126.40961,NA,105,13.3,2016-07-07,L_Shuswap,0.85,MiddleShuswap,0.14,Little,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-D2,U1549,SO,2016-06-24,J08,50.4806,-126.40961,NA,102,11.4,2016-07-07,Scotch,0.89,Seymour,0.11,L_Shuswap,0,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-E2,U1550,SO,2016-06-02,J09,50.543432,-126.8134,NA,91,8.4,2016-07-07,Quesnel_Horsef,0.57,M_Horsefly,0.21,Horsefly,0.21,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-B3,U1551,SO,2016-06-02,J09,50.543432,-126.8134,NA,105,8,2016-07-07,L_Shuswap,0.83,L_Adams,0.17,MiddleShuswap,0,BRN15,NA,NA,NA
BRN15-C3,U1552,SO,2016-06-02,J09,50.543432,-126.8134,NA,102,8.6,2016-07-07,L_Adams,0.77,Chilko,0.1,L_Shuswap,0.06,BRN15,NA,Caudal fin broken,NA
BRN15-D3,U1553,SO,2016-06-02,J09,50.543432,-126.8134,NA,98,8.6,2016-07-07,Quesnel_Horsef,0.88,Horsefly,0.06,M_Horsefly,0.06,BRN15,NA,NA,NA
BRN15-E3,U1554,SO,2016-06-02,J09,50.543432,-126.8134,NA,100,9.1,2016-07-07,Quesnel_Horsef,0.93,Horsefly,0.03,M_Horsefly,0.03,BRN15,NA,NA,NA
BRN15-F3,U1555,SO,2016-06-02,J09,50.543432,-126.8134,NA,102,11.4,2016-07-07,L_Shuswap,0.99,L_Adams,0.01,MiddleShuswap,0,BRN15,NA,NA,NA
BRN15-A5,U1557,SO,2016-05-28,J02,50.60125,-126.704457,NA,118,14.5,2016-07-07,DollyVarden_Cr,0.99,Pinchi_Cr,0.01,Chilko,0,BRN15,NA,NA,NA
BRN15-B5,U1558,SO,2016-05-28,J02,50.60125,-126.704457,NA,105,10.9,2016-07-07,Tachie,0.72,Pinchi_Cr,0.23,Blackwater,0.03,BRN15,NA,NA,NA
BRN15-D12,U1559,SO,2016-06-04,J06,50.458983,-126.169594,NA,93,7.7,2016-07-13,Chilko,0.66,L_Adams,0.13,Quesnel_Horsef,0.09,BRN15,NA,NA,NA
BRN15-E12,U1560,SO,2016-06-04,J06,50.458983,-126.169594,NA,93,9.6,2016-07-13,L_Adams,0.96,Seymour,0.02,Quesnel_Horsef,0.01,BRN15,NA,NA,1 otolith
BRN15-F2,U1561,SO,2016-06-02,J09,50.543432,-126.8134,NA,92,7.4,2016-07-07,L_Adams,0.98,L_Shuswap,0.01,M_Horsefly,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-G2,U1562,SO,2016-06-02,J09,50.543432,-126.8134,NA,88,7,2016-07-07,Quesnel_Horsef,0.83,Horsefly,0.1,L_Adams,0.04,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-H2,U1563,SO,2016-06-02,J09,50.543432,-126.8134,NA,97,9.1,2016-07-07,L_Shuswap,0.97,MiddleShuswap,0.03,L_Adams,0,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-A4,U1564,SO,2016-05-28,J02,50.60125,-126.704457,NA,91,7.9,2016-07-07,L_Shuswap,0.99,L_Adams,0.01,MiddleShuswap,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-B4,U1565,SO,2016-05-28,J02,50.60125,-126.704457,NA,100,9.9,2016-07-07,Scotch,0.83,Seymour,0.05,L_Shuswap,0.05,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-C4,U1566,SO,2016-05-28,J02,50.60125,-126.704457,NA,95,9.3,2016-07-07,Quesnel_Horsef,0.82,Little,0.07,U_Horsefly,0.05,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-D4,U1567,SO,2016-05-28,J02,50.60125,-126.704457,NA,95,8.4,2016-07-07,L_Shuswap,0.72,Scotch,0.22,MiddleShuswap,0.02,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-E4,U1568,SO,2016-05-28,J02,50.60125,-126.704457,NA,99,10.2,2016-07-07,L_Shuswap,0.84,Scotch,0.09,MiddleShuswap,0.05,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-F4,U1569,SO,2016-06-14,D09,50.307203,-125.332605,NA,106,11.8,2016-07-07,Horsefly,0.61,L_Horsefly,0.13,Quesnel_Horsef,0.1,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-G4,U1570,SO,2016-06-14,D09,50.307203,-125.332605,NA,95,9.9,2016-07-07,L_Shuswap,0.53,MiddleShuswap,0.45,Eagle_L,0.02,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-H4,U1571,SO,2016-06-14,D09,50.307203,-125.332605,NA,93,10.1,2016-07-08,MiddleShuswap,0.91,L_Shuswap,0.08,Horsefly,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-C5,U1572,SO,2016-06-14,D09,50.307203,-125.332605,NA,98,10.5,2016-07-08,MiddleShuswap,0.84,L_Shuswap,0.14,Eagle_L,0.02,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-D5,U1573,SO,2016-06-14,D09,50.307203,-125.332605,NA,94,9.2,2016-07-08,Seymour,0.55,Scotch,0.34,MiddleShuswap,0.05,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-E5,U1574,SO,2016-06-14,D09,50.307203,-125.332605,NA,95,9.2,2016-07-08,MiddleShuswap,0.95,L_Shuswap,0.04,Eagle_L,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-F5,U1575,SO,2016-06-14,D09,50.307203,-125.332605,NA,96,9.8,2016-07-08,MiddleShuswap,0.9,L_Shuswap,0.07,Eagle_L,0.03,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-G5,U1576,SO,2016-06-14,D09,50.307203,-125.332605,NA,94,9.5,2016-07-08,MiddleShuswap,0.76,Chilko,0.14,Eagle_L,0.06,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-H5,U1577,SO,2016-06-14,D09,50.307203,-125.332605,NA,97,10,2016-07-08,Horsefly,0.66,L_Horsefly,0.13,Quesnel_Horsef,0.1,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-A6,U1578,SO,2016-06-14,D09,50.307203,-125.332605,NA,94,8.7,2016-07-08,MiddleShuswap,0.78,L_Shuswap,0.17,Eagle_L,0.03,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-B6,U1579,SO,2016-06-02,J10,50.477038,-126.028566,NA,97,10,2016-07-08,L_Adams,0.82,L_Shuswap,0.15,Chilko_south,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-C6,U1580,SO,2016-06-02,J10,50.477038,-126.028566,NA,90,7.6,2016-07-08,L_Adams,0.67,L_Shuswap,0.26,Seymour,0.06,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-D6,U1581,SO,2016-06-02,J10,50.477038,-126.028566,NA,102,10.6,2016-07-08,Mitchell,1,NA,NA,NA,NA,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-E6,U1582,SO,2016-06-02,J10,50.477038,-126.028566,NA,96,7.5,2016-07-08,Mitchell,0.98,Quesnel_Horsef,0.01,Roaring,0,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-F6,U1583,SO,2016-06-02,J10,50.477038,-126.028566,NA,92,8,2016-07-08,L_Adams,0.65,Stellako,0.13,Pinchi_Cr,0.04,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-G6,U1584,SO,2016-06-02,J10,50.477038,-126.028566,NA,103,10.5,2016-07-08,NA,NA,NA,NA,NA,NA,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-H6,U1585,SO,2016-06-02,J10,50.477038,-126.028566,NA,88,8,2016-07-08,L_Adams,1,Eagle_L,0,MiddleShuswap,0,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-A8,U1586,SO,2016-06-02,J10,50.477038,-126.028566,NA,98,9.7,2016-07-08,L_Adams,0.88,L_Shuswap,0.11,MiddleShuswap,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-B8,U1587,SO,2016-06-02,J10,50.477038,-126.028566,NA,93,8.5,2016-07-12,Mitchell,0.99,Quesnel_Mitche,0.01,NA,NA,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-C8,U1588,SO,2016-06-07,D22,50.242671,-125.398265,NA,90,7.9,2016-07-12,Little,0.63,L_Adams,0.28,L_Shuswap,0.09,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-D8,U1589,SO,2016-06-07,D22,50.242671,-125.398265,NA,98,12.3,2016-07-12,Quesnel_Horsef,0.48,Little,0.24,L_Shuswap,0.1,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-E8,U1590,SO,2016-06-07,D22,50.242671,-125.398265,NA,92,10.2,2016-07-12,Quesnel_Mitche,0.59,Mitchell,0.4,Quesnel_Decept,0,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-H7,U1591,SO,2016-05-27,J01,50.576696,-126.721158,NA,113,10.8,2016-07-12,Chilko,0.89,L_Shuswap,0.05,Portage_Cr,0.01,BRN15,NA,NA,Stomach fell apart during disection
BRN15-A9,U1592,SO,2016-05-27,J01,50.576696,-126.721158,NA,102,8.4,2016-07-12,Scotch,0.91,Seymour,0.08,Eagle,0.01,BRN15,NA,NA,NA
BRN15-B9,U1593,SO,2016-05-27,J01,50.576696,-126.721158,NA,119,12.5,2016-07-12,Chilko,0.34,Quesnel_Horsef,0.3,U_Horsefly,0.07,BRN15,NA,NA,NA
BRN15-C9,U1594,SO,2016-05-27,J01,50.576696,-126.721158,NA,103,7.6,2016-07-13,L_Shuswap,1,Dust,0,MiddleShuswap,0,BRN15,NA,NA,Broken caudal fin
BRN15-D9,U1595,SO,2016-06-04,J06,50.458983,-126.169594,NA,100,7.6,2016-07-13,L_Adams,0.95,Seymour,0.03,L_Shuswap,0.01,BRN15,NA,NA,NA
BRN15-E9,U1596,SO,2016-06-04,J06,50.458983,-126.169594,NA,103,7,2016-07-13,Quesnel_Horsef,0.58,Horsefly,0.23,M_Horsefly,0.12,BRN15,NA,NA,NA
BRN15-F9,U1597,SO,2016-06-04,J06,50.458983,-126.169594,NA,105,9,2016-07-13,L_Adams,0.49,L_Shuswap,0.33,Quesnel_Horsef,0.14,BRN15,NA,NA,NA
BRN15-G9,U1598,SO,2016-06-04,J06,50.458983,-126.169594,NA,110,7.8,2016-07-13,L_Shuswap,0.73,L_Adams,0.26,MiddleShuswap,0.01,BRN15,NA,NA,NA
BRN15-H9,U1599,SO,2016-05-27,J09,50.543432,-126.8134,NA,107,8.4,2016-07-13,L_Shuswap,0.61,Little,0.2,L_Adams,0.15,BRN15,NA,NA,NA
BRN15-F8,U1601,SO,2016-06-07,D22,50.242671,-125.398265,NA,87,8.2,2016-07-12,L_Shuswap,0.99,L_Adams,0,Little,0,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-G8,U1602,SO,2016-05-27,J01,50.576696,-126.721158,NA,88,8.9,2016-07-12,Quesnel_Horsef,0.76,U_Horsefly,0.15,Horsefly,0.07,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-H8,U1603,SO,2016-05-27,J01,50.576696,-126.721158,NA,102,10.5,2016-07-12,Tachie,0.69,Pinchi_Cr,0.22,Blackwater,0.05,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-A10,U1604,SO,2016-05-27,J01,50.576696,-126.721158,NA,90,8.8,2016-07-12,Chilko,1,Chilko-North,0,NA,NA,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-B10,U1605,SO,2016-05-27,J01,50.576696,-126.721158,NA,91,9.4,2016-07-12,Chilko,1,Quesnel_Horsef,0,Roaring,0,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-C10,U1606,SO,2016-05-27,J01,50.576696,-126.721158,NA,91,10.1,2016-07-12,Quesnel_Horsef,0.66,U_Horsefly,0.12,Horsefly,0.07,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-D10,U1607,SO,2016-05-27,J01,50.576696,-126.721158,NA,93,9.2,2016-07-12,L_Shuswap,0.87,DollyVarden_Cr,0.03,Tachie,0.03,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-E10,U1608,SO,2016-06-04,J06,50.458983,-126.169594,NA,92,9.2,2016-07-13,Quesnel_Horsef,0.92,M_Horsefly,0.05,Horsefly,0.03,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-F10,U1609,SO,2016-06-04,J06,50.458983,-126.169594,NA,88,7.2,2016-07-13,L_Adams,0.59,L_Shuswap,0.38,MiddleShuswap,0.03,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-G10,U1610,SO,2016-06-04,J06,50.458983,-126.169594,NA,94,9.3,2016-07-13,L_Adams,0.94,Seymour,0.03,L_Shuswap,0.03,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-F12,U1611,SO,2016-06-04,J06,50.458983,-126.169594,NA,90,9.4,2016-07-13,Seymour,0.5,L_Shuswap,0.25,L_Adams,0.24,BRN15,NA,NA,NA
BRN15-G12,U1612,SO,2016-05-27,J09,50.543432,-126.8134,NA,96,9,2016-07-13,Scotch,0.89,Seymour,0.08,Eagle,0.01,BRN15,NA,NA,NA
BRN15-H12,U1613,SO,2016-05-27,J09,50.543432,-126.8134,NA,95,7.3,2016-07-13,Little,0.46,L_Shuswap,0.27,L_Adams,0.18,BRN15,NA,NA,NA
BRN15-H10,U1621,SO,2016-05-27,J09,50.543432,-126.8134,NA,83,6.5,2016-07-13,Chilko,0.68,Quesnel_Horsef,0.27,Horsefly,0.02,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-A11,U1622,SO,2016-05-27,J09,50.543432,-126.8134,NA,91,9.1,2016-07-13,Kynock,0.22,Tachie,0.22,Sandpoint,0.15,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-B11,U1623,SO,2016-05-27,J09,50.543432,-126.8134,NA,94,10.7,2016-07-13,Little,0.72,L_Adams,0.18,L_Shuswap,0.07,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-C11,U1624,SO,2016-05-27,J09,50.543432,-126.8134,NA,90,8.6,2016-07-13,L_Shuswap,0.97,Little,0.01,L_Adams,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-D11,U1625,SO,2016-06-03,J05,50.507301,-126.24325,NA,80,7.6,2016-07-13,Chilko,0.5,Quesnel_Horsef,0.21,L_Adams,0.19,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,White splin,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-E11,U1626,SO,2016-06-03,J05,50.507301,-126.24325,NA,84,6.5,2016-07-13,L_Shuswap,0.94,MiddleShuswap,0.05,L_Adams,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-F11,U1627,SO,2016-06-03,J05,50.507301,-126.24325,NA,87,9,2016-07-13,Chilko,0.97,Chilko_south,0.03,L_Adams,0.01,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-G11,U1628,SO,2016-06-03,J05,50.507301,-126.24325,NA,83,7.4,2016-07-13,Chilko,0.86,L_Adams,0.05,Chilko-North,0.04,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN15-H11,U1629,SO,2016-06-03,J05,50.507301,-126.24325,NA,90,8.8,2016-07-13,L_Adams,0.53,Quesnel_Horsef,0.19,L_Shuswap,0.16,BRN15,Improper handling of RNA microtube caps may have cross contaminated tissue samples,NA,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN16-G1,U1428,SO,2016-06-02,D20,50.462513,-125.368231,NA,99,7,2016-07-14,L_Shuswap,0.39,L_Adams,0.35,Little,0.16,BRN16,NA,NA,NA
BRN16-H1,U1429,SO,2016-06-02,D20,50.462513,-125.368231,NA,98,9.5,2016-07-14,L_Adams,0.46,Little,0.43,Scotch,0.04,BRN16,NA,NA,NA
BRN16-A4,U1430,SO,2016-06-02,D20,50.462513,-125.368231,NA,93,8.5,2016-07-14,L_Shuswap,1,MiddleShuswap,0,Portage_Cr,0,BRN16,NA,NA,Fork length estimated (caudal fin broken)
BRN16-A1,U1600,SO,2016-05-27,J09,50.543432,-126.8134,NA,100,7.7,2016-07-13,Chilko,1,NA,NA,NA,NA,BRN16,NA,NA,NA
BRN16-H2,U1614,SO,2016-05-27,J09,50.543432,-126.8134,NA,93,8,2016-07-13,Scotch,0.47,Chilko,0.11,Quesnel_Horsef,0.11,BRN16,NA,NA,NA
BRN16-A2,U1630,SO,2016-06-03,J05,50.507301,-126.24325,NA,86,7.6,2016-07-13,L_Shuswap,0.8,L_Adams,0.15,Quesnel_Horsef,0.02,BRN16,Improper handling of RNA microtube caps may have cross contaminated tissue samples,1 otolith is broken,Improper handling of RNA microtube caps may have cross contaminated RNA tissues samples
BRN16-B1,U1631,SO,2016-05-27,J09,50.543432,-126.8134,NA,112,11.5,2016-07-13,Quesnel_Horsef,0.83,U_Horsefly,0.11,Horsefly,0.04,BRN16,NA,NA,NA
BRN16-C1,U1632,SO,2016-06-03,J05,50.507301,-126.24325,NA,105,8,2016-07-13,L_Adams,0.97,L_Shuswap,0.01,Seymour,0.01,BRN16,NA,NA,NA
BRN16-D1,U1633,SO,2016-06-03,J05,50.507301,-126.24325,NA,103,7.7,2016-07-13,L_Adams,0.49,Chilko,0.29,L_Shuswap,0.06,BRN16,NA,NA,NA
BRN16-E1,U1634,SO,2016-06-03,J05,50.507301,-126.24325,NA,109,8.4,2016-07-13,L_Shuswap,0.99,MiddleShuswap,0.01,L_Adams,0,BRN16,NA,NA,NA
