ufn,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,analysis_planned,dissection_status,lice_qc_flag,qc_comments,survey_date,site_id,region,cal_cope_field,lep_cope_field,chal_a_field,chal_b_field,cal_mot_field,cm_field,cpaf_field,caf_field,cgf_field,lpam_field,lpaf_field,lam_field,laf_field,lgf_field,unid_cope_field,unid_chal_field,chal_scar,mot_scar,pred_scar,hemorrhaging,eroded_gill_plate,grazed_gill_plate,mate_guarding,pinched_belly,comments_fish_health_field,licing_protocol_field,qc_flag,flag_reason
U16006,DE516N2,PI,P1001,NA,NA,61,10,0.9,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16007,DE516N2,PI,P1001,NA,NA,71,11,2.3,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16008,DE516N2,PI,P1001,NA,NA,65,10,2.3,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16009,DE516N2,PI,P1001,NA,NA,70,13,2.7,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16010,DE516N2,PI,P1001,NA,NA,83,14,4.9,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16101,DE516N2,CU,P1011,NA,NA,79,15,4.8,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16102,DE516N2,CU,P1011,NA,NA,111,24,14.5,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16103,DE516N2,CU,P1011,NA,NA,82,15,5.3,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,scales lost,salmoncoast_motiles,NA,NA
U16104,DE516N2,CU,P1011,NA,NA,73,12,2.4,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16105,DE516N2,CU,P1011,NA,NA,87,15,6.5,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16106,DE516N2,CU,P1011,NA,NA,78,15,4.7,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16107,DE516N2,CU,P1011,NA,NA,81,14,5.1,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16091,DE516N2,CO,P1010,NA,NA,122,29,26.4,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16092,DE516N2,CO,P1010,NA,NA,125,28,23.5,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16093,DE516N2,CO,P1010,NA,NA,135,26,25.5,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16094,DE516N2,CO,P1010,NA,NA,145,31,34,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16095,DE516N2,CO,P1010,NA,NA,134,29,27,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16096,DE516N2,CO,P1010,NA,NA,126,29,24.5,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16097,DE516N2,CO,P1010,NA,NA,136,30,29,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16098,DE516N2,CO,P1010,NA,NA,131,28,25.5,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16099,DE516N2,CO,P1010,NA,NA,133,32,32,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16100,DE516N2,CO,P1010,NA,NA,159,37,48,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16071,DE516N2,CK,P1008,NA,NA,102,22,11.4,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U16781,JE402N1,SO,P1079,09:11:00,09:24:00,148,27,31.5,SEMSP,not dissected,NA,NA,2018-05-21,J11,JS,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,NA,NA
U16782,JE402N1,SO,P1079,09:24:00,09:42:00,149,26,33.2,SEMSP,not dissected,NA,NA,2018-05-21,J11,JS,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,NA,NA
U16783,JE402N1,SO,P1079,09:31:00,09:54:00,184,36,71.5,SEMSP,not dissected,NA,NA,2018-05-21,J11,JS,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scaled heavily going into whirlpak (too big for jug). Lice on floating scales. Unable to enumerate accurately.,salmoncoast_allstages,NA,NA
U16061,DE517N2,SO,P1007,08:40:00,09:11:00,135,23,24,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16062,DE517N2,SO,P1007,08:42:00,09:11:00,118,23,17,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16063,DE517N2,SO,P1007,08:50:00,09:23:00,136,27,24.5,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16064,DE517N2,SO,P1007,08:54:00,09:23:00,126,24,18.5,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16065,DE517N2,SO,P1007,08:57:00,09:30:00,123,23,16,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16066,DE517N2,SO,P1007,09:08:00,09:30:00,130,27,21.5,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16067,DE517N2,SO,P1007,09:20:00,09:40:00,126,21,15.5,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ISOPOD,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16068,DE517N2,SO,P1007,09:23:00,09:40:00,130,25,20.5,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16069,DE517N2,SO,P1007,09:29:00,09:50:00,129,24,18,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16070,DE517N2,SO,P1007,09:39:00,09:50:00,111,21,14,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_allstages,Y,verify sea lice counts (seems suspicious)
U16111,DE517N2,CU,P1012,NA,NA,88,NA,6.2,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16112,DE517N2,CU,P1012,NA,NA,99,22,10,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16113,DE517N2,CU,P1012,NA,NA,79,15,4.1,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16114,DE517N2,CU,P1012,NA,NA,118,23,7.8,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16115,DE517N2,CU,P1012,NA,NA,95,17,6.9,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16116,DE517N2,CU,P1012,NA,NA,84,15,4.5,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16117,DE517N2,CU,P1012,NA,NA,77,14,3.7,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16118,DE517N2,CU,P1012,NA,NA,102,17,8.8,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16481,DE517N2,PI,P1049,NA,NA,95,18,8.2,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16482,DE517N2,PI,P1049,NA,NA,85,15,5.1,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16483,DE517N2,PI,P1049,NA,NA,96,18,6.4,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16484,DE517N2,PI,P1049,NA,NA,98,17,6.8,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16485,DE517N2,PI,P1049,NA,NA,78,14,3.4,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16486,DE517N2,PI,P1049,NA,NA,70,12,2.4,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16487,DE517N2,PI,P1049,NA,NA,89,13,5.5,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16488,DE517N2,PI,P1049,NA,NA,95,18,7.6,SEMSP,not dissected,NA,NA,2018-05-22,D09,DI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
