"date.processed
",universal.fish.number,date,site.id,species,number,cwt,adipose,weight(g),standard.length(mm),fork.length(mm),cm,cpaf,caf,gc,gl,laf,palf,palm,lam,ucal,ulep,rna.tray.id,rna.tray.row,rna.tray.column,fa.box,fa.well,isotope.box,isotope.well,dna.box,dna.well,stomach.tray,otololith.box,otolith.well,scale.book,scale.location,carcass.bag,initials.of.dissector,mins.to.process,PHOTO.NUMBER,"comments:processing(thawed.sampled,etc)",comments:sample(condition.of.fish.and.tissues),qc.data
2016-06-09,1791,16-06-14,D09,SO,12,none,none,9,,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVJ,,,Enumerated for sea lice only,,BJ
2016-06-29,1483,16-06-16,D07,SO,2,NA,none,8.6,,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,7,SO25,49,SO30,89,NA,NA,62,SO19,89,35,6,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-29,1484,16-06-16,D07,SO,4,NA,none,11.3,,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,H,7,SO25,51,SO30,92,NA,NA,62,SO19,92,35,7,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-30,1485,16-06-16,D07,SO,3,NA,none,6.7,,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,8,SO25,52,SO30,94,NA,NA,62,SO19,94,35,8,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-30,1486,16-06-16,D07,SO,7,NA,none,9.3,,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,8,SO25,53,SO30,96,NA,NA,62,SO19,96,35,9,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-30,1487,16-06-16,D07,SO,8,NA,none,7.4,,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,8,SO25,54,SO30,98,NA,NA,62,SO19,98,35,10,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-30,1488,16-06-16,D07,SO,1,NA,none,9.9,,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,8,SO25,55,SO30,100,NA,NA,62,SO19,100,35,11,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-30,1489,16-06-10,J03,SO,9,NA,none,12.9,,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,8,SO25,56,SO31,1,NA,NA,61,SO20,1,35,12,2,TS,20.7,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-30,1490,16-06-10,J03,SO,7,NA,none,11.1,,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,8,SO25,57,SO31,3,NA,NA,61,SO20,2,35,13,2,TS,20.3,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-06-30,1491,16-06-10,J03,SO,8,NA,none,8.6,,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,8,SO25,58,SO31,5,NA,NA,61,SO20,3,35,14,2,TS,20.1,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-06-30,1492,16-06-10,J03,SO,10,NA,none,9.1,,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,H,8,SO25,60,SO31,7,NA,NA,61,SO20,4,35,15,2,TS,19.7,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-06-30,1493,16-06-10,J03,SO,4,NA,none,13.2,,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,9,SO25,61,SO31,9,NA,NA,61,SO20,5,35,16,2,TS,18.9,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-06-30,1494,16-06-10,J03,SO,6,NA,none,9.6,,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,9,SO25,62,SO31,12,NA,NA,61,SO20,6,35,17,2,TS,19,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-06-30,1495,16-06-10,J03,SO,12,NA,none,9.1,,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,9,SO25,63,SO31,14,NA,NA,61,SO20,7,35,18,2,TS,19.1,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-06-30,1496,16-06-10,J03,SO,5,NA,none,8.6,,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,9,SO25,64,SO31,16,NA,NA,61,SO20,8,35,19,2,TS,19.4,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-06-30,1497,16-06-10,J03,SO,3,NA,none,10.2,,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,9,SO25,65,SO31,18,NA,NA,61,SO20,9,35,20,2,TS,18,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-06-30,1498,16-06-10,J03,SO,2,NA,none,9.4,,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,9,SO25,66,SO31,20,NA,NA,61,SO20,10,35,21,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-06-30,1499,16-06-11,J07,SO,17,NA,none,11.6,,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,9,SO25,67,SO31,21,NA,NA,61,SO20,11,35,22,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1465,16-06-11,J07,SO,18,NA,none,10.8,,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,5,SO25,68,SO31,23,NA,NA,63,SO20,12,29,32,2,BK,0:24:49,,,,SJ
2016-07-01,1466,16-06-11,J07,SO,16,NA,none,12.3,,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,H,5,SO25,69,SO31,25,NA,NA,63,SO20,13,29,34,2,BK,29:44 (CHANGED OUT COOLBOX),,,,SJ
2016-07-01,1500,16-06-11,J07,SO,15,NA,none,10.1,,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,H,9,SO25,71,SO31,27,NA,NA,61,SO20,14,35,23,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1467,16-06-11,J07,SO,13,NA,none,14.4,,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,11,SO25,72,SO31,29,NA,NA,63,SO20,16,29,33,2,BK,0:23:02,,,,SJ
2016-07-01,1501,16-06-11,J07,SO,20,NA,none,11.8,,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,10,SO25,73,SO31,32,NA,NA,61,SO20,15,35,24,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1502,16-06-11,J07,SO,12,NA,none,8.4,,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,10,SO25,74,SO31,34,NA,NA,61,SO20,17,35,25,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1468,16-06-11,J07,SO,19,NA,none,10.9,,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,11,SO25,75,SO31,36,NA,NA,63,SO20,18,29,35,3,BK,,,,FISH DESCALED AND PRED MARKS,SJ
2016-07-01,1503,16-06-11,J07,SO,14,NA,none,10.4,,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,10,SO25,76,SO31,38,NA,NA,61,SO20,19,35,26,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1469,16-06-11,J07,SO,11,NA,none,9.3,,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,11,SO25,77,SO31,40,NA,NA,63,SO20,20,29,37,3,BK,"45:00 (LABELS, TOOLS)",,,,SJ
2016-07-01,1504,16-06-10,J04,SO,5,NA,none,9.2,,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,10,SO25,78,SO31,41,NA,NA,61,SO20,21,35,27,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1505,16-06-10,J04,SO,6,NA,none,9,,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,10,SO25,79,SO31,43,NA,NA,61,SO20,22,35,28,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1470,16-06-10,J04,SO,4,NA,none,7.7,,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,11,SO25,81,SO31,45,NA,NA,63,SO20,23,29,36,3,BK,0:21:07,,,bleeding in vent,SJ
2016-07-01,1506,16-06-10,J04,SO,3,NA,none,11,,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,10,SO25,82,SO31,47,NA,NA,59,SO20,24,35,29,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1511,16-06-10,J04,SO,7,NA,none,12.7,,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,11,SO25,83,SO31,49,NA,NA,63,SO20,25,29,38,3,BK,0:23:30,,,,BJ
2016-07-01,1507,16-06-10,J04,SO,2,NA,none,8.1,,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,10,SO25,84,SO31,52,NA,NA,59,SO20,26,35,30,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1512,16-06-10,J04,SO,8,NA,none,7.8,,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,11,SO25,85,SO31,54,NA,NA,63,SO20,27,29,39,3,BK,32:17 QA QC,,,,BJ
2016-07-01,1508,16-06-10,J04,SO,9,NA,none,7.8,,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,H,10,SO25,86,SO31,56,NA,NA,59,SO20,28,35,31,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1509,16-06-10,J04,SO,10,NA,none,8.5,,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,12,SO25,87,SO31,58,NA,NA,59,SO20,29,35,32,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BJ
2016-07-01,1513,16-06-10,J04,SO,1,NA,none,9.2,,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,11,SO25,88,SO31,60,NA,NA,63,SO20,30,29,40,3,BK,,,PUT HEART IN KIDNEY TUBE AND RELABELED,,BJ
2016-07-04,1510,16-06-23,J10,SO,23,NA,none,13.7,,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO25,89,SO31,61,NA,NA,64,SO20,31,35,34,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,"Fish thawed in field. Not suitable for RNA, stable isotope, or FA",BJ
2016-07-04,1521,16-06-23,J10,SO,29,NA,none,11.1,,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO26,1,SO31,63,NA,NA,64,SO20,32,35,35,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,"Fish thawed in field. Not suitable for RNA, stable isotope, or FA",BJ
2016-07-04,1522,16-06-23,J10,SO,25,NA,none,11.4,,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO26,2,SO31,65,NA,NA,64,SO20,33,35,36,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,"Fish thawed in field. Not suitable for RNA, stable isotope, or FA",BJ
2016-07-04,1523,16-06-23,J10,SO,28,NA,none,11.1,,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO26,3,SO31,67,NA,NA,64,SO20,34,35,37,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,"Fish thawed in field. Not suitable for RNA, stable isotope, or FA",BJ
2016-07-04,1524,16-06-23,J10,SO,24,NA,none,12,,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO26,4,SO31,69,NA,NA,64,SO20,35,35,38,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,"Fish thawed in field. Not suitable for RNA, stable isotope, or FA",BJ
2016-07-04,1525,16-06-23,J10,SO,30,NA,none,12.7,,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO26,5,SO31,72,NA,NA,64,SO20,36,35,39,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,"Fish thawed in field. Not suitable for RNA, stable isotope, or FA",BJ
2016-07-04,1526,16-06-23,J10,SO,22,NA,none,6.8,,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO26,6,SO31,74,NA,NA,64,SO20,37,35,40,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,"Fish thawed in field. Not suitable for RNA, stable isotope, or FA",BJ
2016-07-06,1527,16-06-23,J10,SO,27,NA,none,10.8,,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO26,7,SO31,76,NA,NA,64,SO20,38,35,41,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,"Fish thawed in field. Not suitable for RNA, stable isotope, or FA",SJ
2016-07-06,1531,16-06-23,J10,SO,26,NA,none,14.2,,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO26,8,SO31,78,NA,NA,65,SO20,39,29,50,3,YK,,,,"Fish thawed in field. Not suitable for RNA, stable isotope, or FA",BK
2016-07-06,1528,16-06-25,J06,SO,14,NA,none,17.2,,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,A,1,SO26,9,SO31,80,NA,NA,64,SO20,40,35,42,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-07-06,1532,16-06-25,J06,SO,13,NA,none,10.8,,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,4,SO26,11,SO31,81,NA,NA,65,SO20,41,29,49,3,YK,,,,,BK
2016-07-06,1529,16-06-25,J06,SO,20,NA,none,13,,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,B,1,SO26,12,SO31,83,NA,NA,64,SO20,42,35,43,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-07-06,1530,16-06-25,J06,SO,19,NA,none,11.6,,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,C,1,SO26,13,SO31,85,NA,NA,64,SO20,43,35,44,3,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
