project,action,date,work_area,jsp_survey_id,gather_lat,gather_long,set_time,survey,site_id,pk,seine_id,set_number,set_type,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_notes
SEMSP,NA,2015-06-14,QUADRA,DE183,-125.33023,50.30767,07:30:00,DI_C,D09,70,DE183N2,2,TARGETED,31,NA,NA,NA,TRUE,26,26,1,1,10,200,0,0,2,2,NA,NA,1,SEMSP,1: SO 2 and 26 had lesions on dorasl surface of body. SO 4 had hemorrhaging gills. HE 1 had hem. fins.
SEMSP,NA,2015-06-15,QUADRA,DE186,NA,NA,07:50:00,DI_C,D09,74,DE186N1,1,TARGETED,54,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,1: No sockeye in set; did not enumerate
SEMSP,NA,2015-06-16,QUADRA,DE190,NA,NA,01:50:00,DI_C,D09,76,DE190N1,1,TARGETED,28,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,1: No sockeye in set; did not enumerate
SEMSP,NA,2015-06-18,QUADRA,DE199,-125.32694,50.30819,11:16:00,DI_C,D09,85,DE199N1,1,TARGETED,2,NA,NA,NA,TRUE,30,50,0,0,10,50,0,0,10,10,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-06-22,QUADRA,DE214,-125,50,12:27:00,DI_C,D09,94,DE214N1,1,TARGETED,8,NA,NA,NA,TRUE,29,100,7,7,10,300,0,0,4,4,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-06-24,QUADRA,DE220,-125.3259,50.30698,11:07:00,DI_C,D09,100,DE220N1,1,TARGETED,2,NA,NA,NA,TRUE,30,240,0,0,5,5,1,1,0,0,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-06-27,QUADRA,DE221,-125.33509,50.30702,09:22:00,DI_C,D09,101,DE221N1,1,TARGETED,18,NA,NA,NA,TRUE,19,20,10,20,10,30,0,0,0,0,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-06-29,QUADRA,DE226,NA,NA,NA,DI_C,D09,104,DE226N1,1,TARGETED,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,1: No sockeye in set; did not enumerate
SEMSP,NA,2015-06-29,QUADRA,DE226,-125.33348,50.30764,10:52:00,DI_C,D09,105,DE226N2,2,TARGETED,46,NA,NA,NA,TRUE,8,8,2,2,10,80,0,0,0,0,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-07-02,QUADRA,DE231,NA,NA,NA,DI_C,D09,106,DE231N1,1,TARGETED,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,1: No sockeye in set; did not enumerate
SEMSP,NA,2015-07-02,QUADRA,DE231,-125.33768,50.30377,09:47:00,DI_C,D09,107,DE231N2,2,TARGETED,20,NA,NA,NA,TRUE,30,60,7,8,10,200,0,0,10,20,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-07-06,QUADRA,DE236,-125.31584,50.30641,06:56:00,DI_C,D09,109,DE236N1,1,TARGETED,0,NA,NA,NA,TRUE,4,4,0,0,10,50,0,0,7,7,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-07-07,QUADRA,DE239,NA,NA,NA,DI_C,D09,112,DE239N1,1,TARGETED,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,1: No sockeye in set; did not enumerate
SEMSP,NA,2015-07-07,QUADRA,DE239,-125.32955,50.3079,14:13:00,DI_C,D09,113,DE239N2,2,TARGETED,18,NA,NA,NA,TRUE,5,5,10,100,10,100,0,0,3,3,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-07-14,QUADRA,DE240,-125.33303,50.30717,06:50:00,DI_C,D09,114,DE240N1,1,TARGETED,16,NA,NA,NA,TRUE,30,200,1,1,8,10,0,0,0,0,NA,NA,1,SEMSP,1: Sockeye very small
SEMSP,NA,2016-05-23,QUADRA,DE277,-125.325703,50.30908,06:30:00,DI_C,D09,136,DE277N1,1,TARGETED,4,NA,NA,NA,TRUE,30,600,10,40,10,40,1,1,0,0,NA,NA,1,SEMSP,1: Coho neglected and in dry shipper.
SEMSP,NA,2016-05-27,QUADRA,DE290,-125.333511,50.304166,12:32:00,DI_C,D09,145,DE290N2,2,TARGETED,5,NA,NA,NA,TRUE,30,200,9,9,10,13,0,0,4,4,NA,NA,1,SEMSP,NA
SEMSP,NA,2016-06-01,QUADRA,DE292,-125.326765,50.308769,07:47:00,DI_C,D09,147,DE292N1,1,TARGETED,0,NA,NA,NA,TRUE,30,200,3,3,10,60,0,0,0,0,NA,NA,1,SEMSP,NA
SEMSP,NA,2016-06-07,QUADRA,DE301,-125.332956,50.30436,08:25:00,DI_C,D09,155,DE301N1,1,TARGETED,1,NA,NA,NA,TRUE,30,80,0,0,10,15,0,0,0,0,NA,NA,1,SEMSP,"1: Visual estimate of catch: 80 sockeye, 5 chum, 3 chinook. Census of catch (milk jug scoop): 82 sockeye, 8 chum, 3 chinook.Total abundance estimate: B: 110, L: 80, M: 60"
SEMSP,NA,2016-06-14,QUADRA,DE317,-125.334369,50.305971,07:40:00,DI_C,D09,165,DE317N3,3,RANDOM,NA,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,1: random blind set thus no other data collected
SEMSP,NA,2016-06-14,QUADRA,DE317,-125.334369,50.305971,06:59:00,DI_C,D09,166,DE317N2,2,RANDOM,NA,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,1: random blind set thus no other data collected
SEMSP,NA,2016-06-14,QUADRA,DE317,-125.334369,50.305971,06:34:00,DI_C,D09,167,DE317N1,1,RANDOM,NA,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,1: random blind set thus no other data collected
SEMSP,NA,2016-06-14,QUADRA,DE322,-125.332605,50.307203,14:20:00,DI_C,D09,170,DE322N1,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,"1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N, 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed, no fish in net. 3) 07:40 @ western mooring. No surface activity observed, no fish."
SEMSP,NA,2016-07-06,QUADRA,DE361,-125.322977,50.307066,10:15:00,DI_C,D09,195,DE361N2,2,TARGETED,NA,NA,NA,NA,TRUE,8,8,10,100,10,100,1,1,0,0,NA,NA,1,SEMSP,"1: DFO set: @ 09:55. Luke thinks they fd (net twist) But SJ and BJ think different. LR probably correct because we heard swearing from DFO boat during their net retrieval. Our catch enumerated: 195 fish. DFO caught chum, coho, no sox. DFO earlier in the day caight ~ 300 fish mostly pink + chum with chinook at Deep Water Bay."
SEMSP,NA,2016-07-06,QUADRA,DE361,-125.336639,50.304502,09:45:00,DI_C,D09,196,DE361N1,1,TARGETED,3,NA,NA,NA,FALSE,0,1,0,40,0,20,0,0,0,0,NA,NA,NA,SEMSP,1: re set because there was lots of surface activity elsewhere
SEMSP,NA,2016-05-27,QUADRA,DE290,-125.333511,50.304166,11:30:00,DI_C,D09,146,DE290N1,1,TARGETED,5,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"1: Caught net on bottom, abandoned set to free net."
SEMSP,NA,2015-06-14,QUADRA,DE183,NA,NA,NA,DI_C,D09,69,DE183N1,1,TARGETED,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,1: No sockeye in set; did not enumerate
SEMSP,NA,2016-05-15,QUADRA,DE262,-125.33416,50.287179,07:40:00,DI_C,D09,124,DE262N1,1,TARGETED,71,NA,NA,NA,FALSE,0,0,0,0,0,1,0,2,0,0,NA,NA,NA,SEMSP,NA
SEMSP,NA,2015-06-07,QUADRA,DE168,-125.3269,50.30812,10:51:00,DI_C,D09,57,DE168N1,1,TARGETED,5,NA,NA,NA,TRUE,30,40,1,1,10,10,0,0,1,1,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-06-20,QUADRA,DE206,-125.33588,50.30597,12:29:00,DI_C,D09,89,DE206N1,1,TARGETED,34,NA,NA,NA,TRUE,30,200,0,0,10,80,2,2,10,10,NA,NA,1,SEMSP,NA
SEMSP,NA,2016-06-21,QUADRA,DE329,-125.335266,50.30661,09:36:00,DI_C,D09,177,DE329N2,2,TARGETED,3,NA,NA,NA,TRUE,14,14,10,20,10,30,0,0,0,0,NA,NA,1,SEMSP,"1: DFO set at 09:30. No fish in our first set but large school observed. 3 CTD drops total: 1 practice, 1 @ oceanography site (65m), 1 @ fish site (10m), catch enumerated (sockeye: 14, chum: 36, pink: 27)"
SEMSP,NA,2016-06-21,QUADRA,DE329,-125.335266,50.30661,09:23:00,DI_C,D09,178,DE329N1,1,TARGETED,3,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"1: DFO set at 09:30. No fish in our first set but large school observed. 3 CTD drops total: 1 practice, 1 @ oceanography site (65m), 1 @ fish site (10m)"
SEMSP,NA,2016-06-29,QUADRA,DE350,-125.329361,50.307068,10:02:00,DI_C,D09,187,DE350N2,2,TARGETED,14,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"1: Set 2 with DFO. DFO set at 10:00, Sloop Jo set at 10:02. Targeted school seen below the surface. No fish."
SEMSP,NA,2016-06-29,QUADRA,DE350,-125.329361,50.307068,09:24:00,DI_C,D09,188,DE350N1,1,RANDOM,14,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"1: Set 1 with DFO. DFO set at 09:22, Sloop Jo set at 09:24. Random set, no fish."
