"","hakai_id","fork_length","comments"
"100","U4370",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"101","U4375",105,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"102","U4366",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"103","U4342",102,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"104","U4341",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"105","U4374",127,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"106","U4336",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"107","U4371",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"108","U4372",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"109","U4338",83,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"110","U2817",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"111","U2511",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"112","U2815",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"113","U2510",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"114","U2816",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"115","U2814",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"116","U2903",75,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"117","U2787",80,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"118","U2819",75,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"119","U2823",86,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"120","U2761",83,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"121","U2759",79,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"122","U2764",84,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"123","U4201",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"124","U2767",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"125","U2765",82,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"126","U4227",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"127","U4230",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"128","U4226",83,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"129","U4225",74,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"130","U2809",85,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"131","U2806",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"132","U2810",85,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"133","U2811",73,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"134","U2808",86,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"135","U2807",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"136","U4667",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"137","U4670",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"138","U4569",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"139","U4684",81,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"140","U4665",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"141","U4632",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"142","U2610",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"143","U2719",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"144","U2713",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"145","U2716",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"146","U2714",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"147","U2611",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"148","U2712",107,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"149","U2718",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"150","U2715",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"151","U2717",110,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"152","U2473",102,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"153","U2494",104,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"154","U2436",111,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"155","U2439",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"156","U2430",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"157","U2262",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"158","U2435",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"159","U2437",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"160","U2160",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"161","U2438",107,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"162","U2159",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"163","U2261",107,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"164","U2264",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"165","U2458",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"166","U2456",104,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"167","U2452",106,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"168","U2451",105,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"169","U2455",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"170","U2453",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"171","U2457",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"172","U2454",106,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"173","U4651",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"174","U4650",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"175","U4584",83,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"176","U4583",135,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"177","U4582",111,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"178","U4353",135,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"179","U4326",120,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"180","U4216",111,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"181","U4321",120,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"182","U4325",116,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"183","U4323",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"184","U4322",119,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"185","U4320",116,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"186","U4319",113,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"187","U4215",117,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"188","U4352",113,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"189","U4324",111,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"190","U4351",87,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"191","U4318",131,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"192","U4354",116,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"193","U4557",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"194","U4615",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"195","U4618",83,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"196","U4531",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"197","U4621",84,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"198","U4529",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"199","U4530",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"200","U4527",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"201","U4556",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"202","U4633",104,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"203","U4634",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"204","U4392",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"205","U2802",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"206","U2801",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"207","U2500",81,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"208","U2805",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"209","U2803",87,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"210","U2496",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"211","U2804",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"212","U4327",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"213","U4361",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"214","U4357",86,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"215","U4360",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"216","U4333",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"217","U4334",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"218","U4362",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"219","U2268",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"220","U2265",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"221","U2266",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"222","U2495",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"223","U2502",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"224","U2267",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"225","U4207",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"226","U4299",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"227","U4297",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"228","U4269",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"229","U2466",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"230","U2467",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"231","U2465",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"232","U2470",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"233","U2721",86,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"234","U2368",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"235","U4385",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"236","U4586",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"237","U4384",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"238","U4483",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"239","U4587",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"240","U4389",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"241","U4386",86,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"242","U4388",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"243","U4484",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"244","U4192",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"245","U4313",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"246","U4190",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"247","U4312",87,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"248","U2706",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"249","U2609",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"250","U2608",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"251","U2481",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"252","U2480",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"253","U2477",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"254","U2478",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"255","U2479",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"256","U2483",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"257","U4523",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"258","U4544",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"259","U4546",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"260","U4427",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"261","U4398",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"262","U4426",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"263","U4231",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"264","U4238",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"265","U4627",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"266","U4635",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"267","U4499",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"268","U4505",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"269","U4506",102,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"270","U4493",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"271","U4383",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"272","U4637",84,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"273","U4565",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"274","U4660",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"275","U4661",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"276","U4439",88,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"277","U4463",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"278","U4440",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"279","U4491",85,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"280","U4532",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"281","U2471",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"282","U2374",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"283","U2400",104,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"284","U2782",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"285","U2902",86,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"286","U2399",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"287","U2780",79,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"288","U2398",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"289","U2756",113,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"290","U2754",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"291","U2485",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"292","U2484",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"293","U2488",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"294","U2492",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"295","U2491",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"296","U2490",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"297","U2487",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"298","U2486",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"299","U2489",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"300","U2493",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"301","U2388",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"302","U4401",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"303","U4378",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"304","U4413",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"305","U2450",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"306","U2444",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"307","U4382",104,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"308","U4551",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"309","U4258",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"310","U4624",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"311","U4257",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"312","U4533",92,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"313","U4536",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"314","U4535",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"315","U4408",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"316","U4415",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"317","U4435",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"318","U4688",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"319","U4377",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"320","U4422",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"321","U4391",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"322","U4591",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"323","U4525",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"324","U4589",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"325","U4588",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"326","U4590",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"327","U4447",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"328","U4538",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"329","U4474",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"330","U2734",102,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"331","U2396",102,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"332","U2779",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"333","U4267",104,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"334","U4259",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"335","U2472",103,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"336","U2727",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"337","U2730",106,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"338","U4198",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"339","U4197",102,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"340","U4314",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"341","U4393",103,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"342","U4223",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"343","U4417",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"344","U4344",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"345","U2381",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"346","U4304",107,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"347","U4292",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"348","U4302",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"349","U4293",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"350","U4303",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"351","U4305",107,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"352","U4639",104,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"353","U4580",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"354","U4183",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"355","U4541",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"356","U2604",105,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"357","U2601",113,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"358","U4246",120,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
