ufn,semsp_id,date_processed,cwt,adipose,weight,standard_length,fork_length,length delta,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,qc_data
U32,2015-05-21-J06-CO-3,2015-09-15,none,none,NA,NA,138,NA,NA,"From thawed JS fish. Mangled cal. chal b, 1 cal. chal a not retained",NA,CK,work-up excluding cold samples,CK
U10,2015-05-21-J06-SO-6,2015-09-16,none,none,11.2,NA,104,NA,NA,From thawed JS fish,Fish was small and therfore was more abraded from handling,DS,work-up excluding cold samples,KI
U17,2015-05-21-J06-SO-3,2015-09-16,none,none,9.9,NA,109,NA,NA,From thawed JS fish,NA,LP,work-up excluding cold samples,KI
U23,2015-05-21-J06-CU-9,2015-09-16,none,none,16.4,NA,118,NA,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,DS
U24,2015-05-21-J06-CU-2,2015-09-16,none,none,11.8,NA,105,NA,NA,From thawed JS fish. Scale was broken so could not weigh,Scale was broken so could not weigh,KI,work-up excluding cold samples,CK
U25,2015-05-21-J06-SO-7,2015-09-16,none,none,8.6,NA,95,NA,NA,From thawed JS fish.,1 otolith,KI,work-up excluding cold samples,CK
U33,2015-05-21-J06-CO-1,2015-09-16,none,none,20.9,NA,131,NA,NA,From thawed JS fish. 1 caligus chal a severly destroyed,NA,CK,work-up excluding cold samples,DS
U34,2015-05-21-J06-CO-2,2015-09-16,none,none,36.4,NA,140,NA,NA,From thawed JS fish,NA,CK,work-up excluding cold samples,KI
U35,2015-05-21-J06-SO-4,2015-09-16,none,none,12.2,NA,108,NA,NA,From thawed JS fish.,1 otolith,CK,work-up excluding cold samples,DS
U36,2015-05-21-J06-CU-4,2015-09-16,none,none,14.9,NA,101,NA,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI
U41,2015-05-21-J06-CU-1,2015-09-16,none,none,16.3,NA,110,NA,NA,From thawed JS fish. Tray tipped off microscope during lice removal fish fell off onto lab coat. lab coat was inspected for lice.,NA,DS,work-up excluding cold samples,KI
U42,2015-05-21-J06-SO-1,2015-09-16,none,none,7.6,NA,95,NA,NA,From thawed JS fish,Missing lots of scales even before removal from bag,DS,work-up excluding cold samples,KI
U43,2015-05-21-J06-SO-2,2015-09-16,none,none,10.5,NA,95,NA,NA,From thawed JS fish,Lots of scales missing,DS,work-up excluding cold samples,KI
U18,2015-05-21-J06-CU-10,2015-09-17,none,none,9.9,NA,96,NA,NA,From thawed JS fish,"external bleeding on head, brain hemmorraged",LP,work-up excluding cold samples,KI
U26,2015-05-23-J10-SO-27,2015-09-17,none,none,13.7,NA,106,NA,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI
U27,2015-05-23-J10-SO-24,2015-09-17,none,none,12.7,NA,108,NA,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI
U37,2015-05-23-J10-SO-18,2015-09-17,none,none,10.4,NA,95,NA,NA,From thawed JS fish,Was missing most scales when it came out of the bag,KI,work-up excluding cold samples,DS
U38,2015-05-23-J10-SO-30,2015-09-17,none,none,12.2,NA,108,NA,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI
U45,2015-05-23-J10-SO-20,2015-09-17,none,none,14,NA,118,NA,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI
U46,2015-05-23-J10-SO-29,2015-09-17,none,none,14.4,NA,110,NA,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI
U19,2015-05-23-J10-SO-17,2015-09-18,none,none,9.8,NA,98,NA,NA,From thawed JS fish,"Both lobes of the tail disconected from on removal from bag, 1 louse was too dry to remove from tray it was a cal chal b.",LP,work-up excluding cold samples,CK
U28,2015-05-23-J10-SO-19,2015-09-18,none,none,11.4,NA,104,NA,NA,"From thawed JS fish. 3 copes, 1 chal a 1 chal b not removed before dissection on pelvic region due to melting",NA,KI,work-up excluding cold samples,DS
U29,2015-05-23-J10-SO-28,2015-09-18,none,none,11.5,NA,100,NA,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,CK
U30,2015-05-23-J10-SO-23,2015-09-18,none,none,12.2,NA,106,NA,NA,From thawed JS fish.,1 otolith,KI,work-up excluding cold samples,DS
U40,2015-05-23-J10-SO-25,2015-09-18,none,none,13.7,NA,106,NA,NA,From thawed JS fish. 1 cal cop not retained,NA,CK,work-up excluding cold samples,KI
U47,2015-05-23-J10-SO-26,2015-09-18,none,none,13.4,NA,107,NA,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI
U48,2015-05-23-J10-SO-22,2015-09-18,none,none,10.9,NA,103,NA,NA,From thawed JS fish,"Big pred scar on left flank, missing scales",DS,work-up excluding cold samples,KI
U49,2015-05-23-J09-SO-22,2015-09-18,none,none,13.5,NA,109,NA,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI
U50,2015-05-23-J09-SO-26,2015-09-18,none,none,13.9,NA,114,NA,NA,"From thawed JS fish. 1 unidentified chal b unretained, 1 female cal chal b mangled",NA,DS,work-up excluding cold samples,LP
U51,2015-05-23-J10-SO-21,2015-09-18,none,none,12.2,NA,104,NA,NA,From thawed JS fish,NA,CK,work-up excluding cold samples,KI
U52,2015-05-23-J09-SO-18,2015-09-18,none,none,18.1,NA,121,NA,NA,From thawed JS fish.,1 otolith,CK,work-up excluding cold samples,KI
U61,2015-05-23-J09-SO-17,2015-09-18,none,none,12.8,NA,108,NA,NA,From thawed JS fish. 2 louse destroyed in vial,NA,KI,work-up excluding cold samples,DS
U62,2015-05-23-J09-SO-23,2015-09-18,none,none,20.2,NA,123,NA,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,DS
U53,2015-05-23-J09-SO-19,2015-09-21,none,none,20.7,NA,125,NA,NA,From thawed JS fish,"Kidneys very pale pink, caudal fin broken",CK,work-up excluding cold samples,KI
U54,2015-05-23-J09-SO-28,2015-09-21,none,none,15,NA,110,NA,NA,From thawed JS fish. Sample beginning to get soft when RNA taken,NA,CK,work-up excluding cold samples,KI
U63,2015-05-23-J09-SO-29,2015-09-21,none,none,15.6,NA,110,NA,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI
U71,2015-05-23-J09-SO-24,2015-09-21,none,none,13.6,NA,110,NA,NA,"From thawed JS fish. 1 caligus cope didn't see it get into vial, but it was no longer on forceps.",NA,DS,work-up excluding cold samples,KI
U72,2015-05-23-J09-SO-20,2015-09-21,none,none,12,NA,103,NA,NA,"From thawed JS fish. 1 caligus cope not retained, lunials found in the bag (from louse already collected?)",NA,DS,work-up excluding cold samples,KI
U73,2015-05-23-J09-SO-27,2015-09-21,none,none,12.3,NA,113,NA,NA,From thawed JS fish,1 chal b caligus,DS,work-up excluding cold samples,KI
U20,2015-05-23-J03-SO-27,2015-09-22,none,none,15.7,NA,118,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U55,2015-05-22-J08-SO-7,2015-09-22,none,none,7.5,NA,89,NA,NA,"From JS thawed fish, experimental data set.",1 otolith,KI,work-up excluding cold samples,KI
U56,2015-05-22-J08-SO-8,2015-09-22,none,none,9.3,NA,93,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U57,2015-05-23-J03-SO-20,2015-09-22,none,none,13.1,NA,113,NA,NA,"From JS thawed fish, experimental data set. 1 squished adult, unk. species",NA,KI,work-up excluding cold samples,KI
U58,2015-05-22-J08-SO-26,2015-09-22,none,none,10.4,NA,96,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U60,2015-05-23-J03-SO-25,2015-09-22,none,none,14,NA,113,NA,NA,"From JS thawed fish, experimental data set",White nematode ~2 cm long in gut region,KI,work-up excluding cold samples,KI
U64,2015-05-22-J08-SO-3,2015-09-22,none,none,23.4,NA,140,NA,NA,"From JS thawed fish, experimental data set. Isotopes: too mushy to get a sample","1 adult caligus cut in half, white cysts on stomach anterior to spleen",KI,work-up excluding cold samples,KI
U65,2015-05-22-J08-SO-4,2015-09-22,none,none,15.4,NA,112,NA,NA,"From JS thawed fish, experimental data set","No scales present, 1 otolith",KI,work-up excluding cold samples,KI
U66,2015-05-22-J08-SO-2,2015-09-22,none,none,8.1,NA,107,NA,NA,"From JS thawed fish, experimental data set",1 otolith,KI,work-up excluding cold samples,KI
U74,2015-05-22-J08-SO-6,2015-09-22,none,none,8.3,NA,96,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U75,2015-05-22-J08-SO-1,2015-09-22,none,none,10,NA,96,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U101,2015-05-23-J03-SO-23,2015-09-22,none,none,12.6,NA,113,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U102,2015-05-23-J03-SO-21,2015-09-22,none,none,12,NA,104,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U103,2015-05-22-J08-SO-13,2015-09-22,none,none,15.4,NA,112,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U59,2015-05-22-J08-SO-9,2015-09-23,none,none,7.1,NA,88,NA,NA,"From JS thawed fish, experimental data set. One louse on dorsal fin damaged put into vial, likely chal b stage",NA,KI,work-up excluding cold samples,KI
U68,2015-05-22-J08-SO-5,2015-09-23,none,none,7.2,NA,93,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U69,2015-05-23-J03-SO-19,2015-09-23,none,none,11.2,NA,102,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U70,2015-05-22-J08-SO-27,2015-09-23,none,none,13.9,NA,108,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U76,2015-05-23 J03-SO-29,2015-09-23,none,none,12.5,NA,108,NA,NA,"From JS thawed fish, experimental data set. 1 cal copepod mangled, not retained",NA,KI,work-up excluding cold samples,KI
U77,2015-05-22-J08-SO-10,2015-09-23,none,none,7,NA,86,NA,NA,"From JS thawed fish, experimental data set","1 otolith retained, 1 louse found on outside of bag",KI,work-up excluding cold samples,KI
U78,2015-05-23-J03-SO-17,2015-09-23,none,none,15.9,NA,118,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U79,2015-05-22-J08-SO-30,2015-09-23,none,none,14.9,NA,110,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U80,2015-05-22-J08-SO-11,2015-09-23,none,none,15.1,NA,110,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U81,2015-05-23-J03-SO-16,2015-09-23,none,none,13.6,NA,111,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U91,2015-05-22-J08-SO-28,2015-09-23,none,none,13.4,NA,110,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U92,2015-05-22-J08-SO-29,2015-09-23,none,none,11.5,NA,102,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U82,2015-05-23-J03-SO-22,2015-09-24,none,none,12.7,NA,102,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U83,2015-05-22-J08-SO-12,2015-09-24,none,none,12.7,NA,106,NA,NA,"From JS thawed fish, experimental data set. 1 chal. a destroyed but retained",NA,KI,work-up excluding cold samples,KI
U84,2015-05-23-J03-SO-24,2015-09-24,none,none,10.7,NA,100,NA,NA,"From JS thawed fish, experimental data set. 1 cal. cap. disintigrated",NA,KI,work-up excluding cold samples,KI
U85,2015-05-22-J08-SO-16,2015-09-24,none,none,16.9,NA,119,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U93,2015-05-22-J08-SO-24,2015-09-24,none,none,11.6,NA,100,NA,NA,"From JS thawed fish, experimental data set. Tissues too liquid to take DNA",Tissues too liquid to take DNA,KI,work-up excluding cold samples,KI
U94,2015-05-22-J08-SO-21,2015-09-24,none,none,10.6,NA,100,NA,NA,"From JS thawed fish, experimental data set. Organs too mushy to take DNA",NA,KI,work-up excluding cold samples,KI
U95,2015-05-22-J08-SO-17,2015-09-24,none,none,11.6,NA,100,NA,NA,"From JS thawed fish, experimental data set. No DNA or isotopes, tissues liquid","Hemorraged anal fin, 1 otolith",KI,work-up excluding cold samples,KI
U96,2015-05-22-J08-SO-18,2015-09-24,none,none,12.5,NA,99,NA,NA,"From JS thawed fish, experimental data set",1 otolith,KI,work-up excluding cold samples,KI
U97,2015-05-23-J03-SO-30,2015-09-24,none,none,12.2,NA,102,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,CK
U98,2015-05-23-J03-SO-26,2015-09-24,none,none,7.7,NA,93,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U86,2015-05-23-J03-SO-18,2015-09-25,none,none,10.1,NA,104,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U87,2015-05-22-J08-SO-25,2015-09-25,none,none,15.1,NA,115,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U88,2015-05-23-J03-SO-3,2015-09-25,none,none,13.6,NA,112,NA,NA,"From JS thawed fish, experimental data set. Half of a calanus motile retained",Half of a calanus motile retained,KI,work-up excluding cold samples,KI
U89,2015-05-22-J08-SO-14,2015-09-25,none,none,14.1,NA,109,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U90,2015-05-23-J03-SO-4,2015-09-25,none,none,11.9,NA,109,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U111,2015-05-22-J08-SO-20,2015-09-25,none,none,10.9,NA,106,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U112,2015-05-23-J03-SO-12,2015-09-25,none,none,10.4,NA,102,NA,NA,"From JS thawed fish, experimental data set. 1 mangled cal chal b retained",1 mangled cal chal b retained,KI,work-up excluding cold samples,KI
U104,2015-05-23-J03-SO-10,2015-09-28,none,none,10.2,NA,108,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U105,2015-05-23-J03-SO-6,2015-09-28,none,none,13.4,NA,113,NA,NA,"From JS thawed fish, experimental data set",1 otolith,KI,work-up excluding cold samples,KI
U106,2015-05-22-J08-SO-22,2015-09-28,none,none,11.2,NA,103,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U107,2015-05-23-J03-SO-11,2015-09-28,none,none,13.5,NA,119,NA,NA,"From JS thawed fish, experimental data set. Unknown sp. found (maybe small crab larvae?) put in vial labelled ""u107""",NA,KI,work-up excluding cold samples,KI
U108,2015-05-23-J03-SO-9,2015-09-28,none,none,12.9,NA,106,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U113,2015-05-23-J03-SO-1,2015-09-28,none,none,12.4,NA,109,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U114,2015-05-23-J03-SO-2,2015-09-28,none,none,12.9,NA,108,NA,NA,"From JS thawed fish, experimental data set. 1 chal a cal not retained",1 chal a cal not retained,KI,work-up excluding cold samples,KI
U115,2015-05-22-J08-SO-15,2015-09-28,none,none,12.3,NA,107,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U116,2015-05-23-J03-SO-14,2015-09-28,none,none,13.8,NA,115,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U121,2015-05-22-J08-SO-23,2015-09-28,none,none,11.1,NA,109,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U122,2015-05-22-J08-SO-19,2015-09-28,none,none,9.1,NA,97,NA,NA,"From JS thawed fish, experimental data set",Only 1 otolith found,KI,work-up excluding cold samples,KI
U123,2015-05-23-J03-SO-7,2015-09-28,none,none,14,NA,115,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U109,2015-05-23-J03-SO-15,2015-09-29,none,none,10.8,NA,104,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U117,2015-05-23-J03-SO-13,2015-09-29,none,none,10.4,NA,103,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U118,2015-05-23-J03-SO-8,2015-09-29,none,none,12.9,NA,102,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U124,2015-05-23-J03-SO-5,2015-09-29,none,none,10.6,NA,103,NA,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI
U99,2015-05-15-D05-SO-14,2015-10-05,none,none,7.3,NA,88,NA,NA,RNA taken,NA,KI,full work-up 1,LP
U100,2015-05-23-J09-SO-13,2015-10-05,none,none,15.9,NA,115,NA,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,LP
U110,2015-05-22-J08-CU-3,2015-10-05,none,none,10.8,NA,103,NA,NA,"From thawed JS fish. Dropped louse vial, but nothing appeared to have come out.",NA,CK,work-up excluding cold samples,LP
U119,2015-05-23-J09-SO-14,2015-10-05,none,none,15,NA,113,NA,NA,From JS thawed fish,1 unidentified organism,DS,work-up excluding cold samples,LP
U120,2015-05-23-J09-SO-5,2015-10-06,none,none,16.9,NA,122,NA,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,LP
U141,2015-05-23-J09-SO-15,2015-10-06,none,none,13.7,NA,114,NA,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,LP
U142,2015-05-23-J09-SO-12,2015-10-06,none,none,14.6,NA,116,NA,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,LP
U143,2015-05-23-J09-SO-8,2015-10-06,none,none,15.1,NA,113,NA,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,LP
U144,2015-05-23-J09-SO-1,2015-10-06,none,none,14.8,NA,115,NA,NA,From JS thawed fish. 1 cal cop not retained,1 cal cop not retained,KI,work-up excluding cold samples,LP
U151,2015-05-23-J09-SO-6,2015-10-06,none,none,14.8,NA,116,NA,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,LP
U152,2015-05-23-J09-SO-11,2015-10-06,none,none,21,NA,127,NA,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,LP
U153,2015-05-23-J09-SO-2,2015-10-06,none,none,14.9,NA,115,NA,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,LP
U125,2015-05-23-J09-SO-10,2015-10-07,none,none,12,NA,104,NA,NA,From JS thawed fish,NA,LP,work-up excluding cold samples,CK
U131,2015-05-22-J08-CU-1,2015-10-07,none,none,20.3,NA,NA,NA,NA,From JS thawed fish,"Fork length approximately 115, missing caudal fin",CK,work-up excluding cold samples,CK
U132,2015-05-22-J08-CO-7,2015-10-07,none,none,12.3,NA,97,NA,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,CK
U145,2015-05-23-J09-SO-3,2015-10-07,none,none,14.5,NA,109,NA,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,CK
U146,2015-05-23-J09-SO-9,2015-10-07,none,none,13.2,NA,105,NA,NA,From JS thawed fish,Pale liver,KI,work-up excluding cold samples,CK
U147,2015-05-22-J08-CO-9,2015-10-07,none,none,18.7,NA,123,NA,NA,From JS thawed fish,1 otolith,KI,work-up excluding cold samples,CK
U148,2015-05-22-J08-CO-5,2015-10-07,none,none,16.9,NA,110,NA,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,CK
U149,2015-05-22-J08-CO-10,2015-10-07,none,none,13.2,NA,110,NA,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,CK
U150,2015-05-22-J08-CO-6,2015-10-07,none,none,12.2,NA,99,NA,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,CK
U154,2015-05-23-J09-SO-7,2015-10-07,none,none,12.8,NA,105,NA,NA,From JS thawed fish. 1 mangled caligus chal b not retained,1 mangled caligus chal b not retained,DS,work-up excluding cold samples,CK
U155,2015-05-23-J09-SO-4,2015-10-07,none,none,14.4,NA,110,NA,NA,From JS thawed fish,"1 cal cope half found on flank, possible other 1/2 in vial",DS,work-up excluding cold samples,CK
U156,2015-05-22-J07-SO-16,2015-10-07,none,none,11.2,NA,110,NA,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,CK
U157,2015-05-22-J08-CO-8,2015-10-07,none,none,17.9,NA,115,NA,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,CK
U158,2015-05-22-J07-SO-23,2015-10-07,none,none,12.2,NA,116,NA,NA,From JS thawed fish. 1 caligus cope not retained,1 caligus cope not retained,DS,work-up excluding cold samples,CK
U133,2015-05-22-J07-SO-28,2015-10-08,none,none,11.5,NA,105,NA,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS
U134,2015-05-22-J07-SO-17,2015-10-08,none,none,12.2,NA,104,NA,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS
U135,2015-05-22-J07-SO-19,2015-10-08,none,none,11.3,NA,115,NA,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS
U136,2015-05-22-J07-SO-26,2015-10-08,none,none,9.8,NA,98,NA,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS
U137,2015-05-22-J07-SO-24,2015-10-08,none,none,9.3,NA,93,NA,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS
U138,2015-05-22-J07-SO-18,2015-10-08,none,none,11.2,NA,100,NA,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS
U159,2015-05-22-J07-SO-30,2015-10-08,none,none,11.2,NA,104,NA,NA,From JS thawed fish,Sample missing most of scales,DS,work-up excluding cold samples,KI
U160,2015-05-22-J07-SO-20,2015-10-08,none,none,12.8,NA,107,NA,NA,From JS thawed fish,Sample missing most of scales,DS,work-up excluding cold samples,KI
U161,2015-05-22-J07-SO-21,2015-10-08,none,none,12.6,NA,105,NA,NA,From JS thawed fish,"1 otolith, 2 nematodes",KI,work-up excluding cold samples,DS
U162,2015-05-22-J07-SO-22,2015-10-08,none,none,13.5,NA,111,NA,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,DS
U171,2015-05-22-J07-SO-25,2015-10-08,none,none,11.4,NA,102,NA,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,KI
U139,2015-05-22-J07-SO-27,2015-10-09,none,none,13.2,NA,117,NA,NA,"From JS thawed fish. Dylan double checked for lice, no weight taken",NA,CK,work-up excluding cold samples,LP
U140,2015-05-23-J09-SO-30,2015-10-09,none,none,13.9,NA,110,NA,NA,"From JS thawed fish. Kristi double checked for lice, 1 cal chal b stuck to tray",NA,CK,work-up excluding cold samples,LP
U163,2015-05-23-J09-SO-21,2015-10-09,none,none,15.6,NA,110,NA,NA,From JS thawed fish. Carolyn double checked for lice,Carolyn double checked for lice,KI,work-up excluding cold samples,DS
U164,2015-05-23-J09-SO-16,2015-10-09,none,none,18.6,NA,130,NA,NA,"From JS thawed fish. 1 copepodid destroyed and not retained, carolyn double checked for lice",NA,KI,work-up excluding cold samples,DS
U165,2015-05-23-J10-SO-14,2015-10-09,none,none,13,NA,109,NA,NA,"From JS thawed fish, Dylan double checked for lice",NA,KI,work-up excluding cold samples,DS
U166,2015-05-23-J10-SO-5,2015-10-09,none,none,14.1,NA,115,NA,NA,"From JS thawed fish, Dylan double checked for lice",NA,KI,work-up excluding cold samples,DS
U172,2015-05-22-J07-SO-29,2015-10-09,none,none,12.3,NA,110,NA,NA,From JS thawed fish. Carolyn double checked for lice,Carolyn double checked for lice,DS,work-up excluding cold samples,KI
U174,2015-05-23-J10-SO-1,2015-10-09,none,none,12.2,NA,103,NA,NA,"From JS thawed fish. Kristi double checked for lice, 1 cal chal b stuck to tray",NA,DS,work-up excluding cold samples,KI
U181,2015-05-23-J09-SO-25,2015-10-09,none,none,13.1,NA,109,NA,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,LP
U182,2015-05-23-J10-SO-10,2015-10-09,none,none,NA,NA,112,NA,NA,"From JS thawed fish. Dylan double checked for lice, no weight taken",NA,CK,work-up excluding cold samples,LP
U183,2015-05-23-J10-SO-4,2015-10-09,none,none,13.5,NA,115,NA,NA,"From JS thawed fish. Kristi double checked for lice, 1 cal chal b stuck to tray",NA,CK,work-up excluding cold samples,LP
U126,2015-05-23-J10-SO-3,2015-10-13,none,none,11.6,NA,104,NA,NA,From JS thawed fish,NA,LP,work-up excluding cold samples,DS
U167,2015-05-23-J10-SO-8,2015-10-13,none,none,13.5,NA,103,NA,NA,"From JS thawed fish. Cal a not retained, 1 cal b cal retained from u168 by mistake",NA,KI,work-up excluding cold samples,DS
